Date,Ticker,Close,High,Low,Open,Inserted_at_timestamp_WIB
2026-03-30,BBCA.JK,6450.0,6475.0,6350.0,6400.0,2026-03-30 10:55:25
2026-03-30,BBRI.JK,3380.0,3390.0,3330.0,3350.0,2026-03-30 10:55:25
2026-03-30,BMRI.JK,4740.0,4750.0,4690.0,4710.0,2026-03-30 10:55:25
2026-03-02,BBCA.JK,6730.36962890625,6850.127095612767,6682.466642223643,6778.272615588857,2026-03-30 10:59:59
2026-03-02,BBRI.JK,3820.0,3840.0,3800.0,3840.0,2026-03-30 10:59:59
2026-03-02,BMRI.JK,5075.0,5175.0,5050.0,5125.0,2026-03-30 10:59:59
2026-03-03,BBCA.JK,6778.2724609375,6826.175446527164,6730.369475347836,6778.2724609375,2026-03-30 10:59:59
2026-03-03,BBRI.JK,3770.0,3840.0,3770.0,3820.0,2026-03-30 10:59:59
2026-03-03,BMRI.JK,5100.0,5175.0,5050.0,5100.0,2026-03-30 10:59:59
2026-03-04,BBCA.JK,6586.66064453125,6778.272590553977,6538.757658025568,6778.272590553977,2026-03-30 10:59:59
2026-03-04,BBRI.JK,3690.0,3770.0,3660.0,3770.0,2026-03-30 10:59:59
2026-03-04,BMRI.JK,4980.0,5075.0,4870.0,5050.0,2026-03-30 10:59:59
2026-03-05,BBCA.JK,6802.22412109375,6826.175614477883,6658.515160788952,6682.466654173085,2026-03-30 10:59:59
2026-03-05,BBRI.JK,3750.0,3780.0,3720.0,3720.0,2026-03-30 10:59:59
2026-03-05,BMRI.JK,5125.0,5125.0,5000.0,5025.0,2026-03-30 10:59:59
2026-03-06,BBCA.JK,6706.41796875,6802.223939732143,6706.41796875,6778.272446986607,2026-03-30 10:59:59
2026-03-06,BBRI.JK,3670.0,3750.0,3670.0,3750.0,2026-03-30 10:59:59
2026-03-06,BMRI.JK,4980.0,5100.0,4950.0,5075.0,2026-03-30 10:59:59
2026-03-09,BBCA.JK,6586.66064453125,6658.515124289773,6538.757658025568,6610.612137784091,2026-03-30 10:59:59
2026-03-09,BBRI.JK,3570.0,3630.0,3560.0,3590.0,2026-03-30 10:59:59
2026-03-09,BMRI.JK,4820.0,4870.0,4780.0,4800.0,2026-03-30 10:59:59
2026-03-10,BBCA.JK,6682.466796875,6754.321278561828,6634.563809083781,6658.515302979391,2026-03-30 10:59:59
2026-03-10,BBRI.JK,3560.0,3610.0,3560.0,3600.0,2026-03-30 10:59:59
2026-03-10,BMRI.JK,4910.0,4990.0,4860.0,4920.0,2026-03-30 10:59:59
2026-03-11,BBCA.JK,6538.7578125,6706.4182692307695,6538.7578125,6682.466775412088,2026-03-30 10:59:59
2026-03-11,BBRI.JK,3580.0,3600.0,3560.0,3580.0,2026-03-30 10:59:59
2026-03-11,BMRI.JK,4880.0,4970.0,4880.0,4930.0,2026-03-30 10:59:59
2026-03-12,BBCA.JK,6610.6123046875,6730.369773975317,6538.75782311481,6538.75782311481,2026-03-30 10:59:59
2026-03-12,BBRI.JK,3570.0,3610.0,3570.0,3580.0,2026-03-30 10:59:59
2026-03-12,BMRI.JK,4960.0,4980.0,4870.0,4870.0,2026-03-30 10:59:59
2026-03-13,BBCA.JK,6586.66064453125,6730.369604048296,6562.709151278409,6562.709151278409,2026-03-30 10:59:59
2026-03-13,BBRI.JK,3510.0,3590.0,3510.0,3560.0,2026-03-30 10:59:59
2026-03-13,BMRI.JK,4750.0,4920.0,4750.0,4900.0,2026-03-30 10:59:59
2026-03-16,BBCA.JK,6466.9033203125,6586.660789207176,6419.000332754629,6562.709295428241,2026-03-30 10:59:59
2026-03-16,BBRI.JK,3480.0,3510.0,3430.0,3500.0,2026-03-30 10:59:59
2026-03-16,BMRI.JK,4700.0,4740.0,4630.0,4730.0,2026-03-30 10:59:59
2026-03-17,BBCA.JK,6490.8544921875,6538.757477369696,6466.902999596402,6466.902999596402,2026-03-30 10:59:59
2026-03-17,BBRI.JK,3480.0,3530.0,3480.0,3500.0,2026-03-30 10:59:59
2026-03-17,BMRI.JK,4730.0,4780.0,4710.0,4750.0,2026-03-30 10:59:59
